transaction_id,amount,merchant_type,device_type,label
1,46.93,travel,tablet,0
2,301.01,groceries,desktop,0
3,131.67,others,tablet,0
4,91.29,electronics,desktop,0
5,16.96,others,mobile,0
6,16.96,electronics,tablet,0
7,5.98,clothing,mobile,0
8,201.12,electronics,tablet,0
9,91.91,travel,mobile,0
10,123.13,groceries,tablet,0
11,2.08,clothing,mobile,0
12,350.36,electronics,mobile,0
13,178.64,others,tablet,0
14,23.87,clothing,mobile,0
15,20.07,clothing,mobile,0
16,20.26,electronics,mobile,0
17,36.28,clothing,tablet,0
18,74.39,others,tablet,0
19,56.55,clothing,mobile,0
20,34.42,others,mobile,0
21,94.64,electronics,tablet,0
22,15.02,groceries,tablet,0
23,34.55,clothing,mobile,0
24,45.63,groceries,mobile,0
25,60.89,others,mobile,0
26,153.79,clothing,desktop,0
27,22.27,travel,tablet,0
28,72.2,groceries,desktop,0
29,89.75,clothing,tablet,0
30,4.76,groceries,tablet,0
31,93.53,clothing,tablet,0
32,18.7,electronics,tablet,0
33,6.73,groceries,tablet,0
34,297.37,travel,tablet,0
35,337.06,travel,tablet,0
36,165.23,others,desktop,0
37,36.33,clothing,mobile,1
38,10.28,groceries,mobile,0
39,115.28,others,desktop,0
40,58.01,groceries,desktop,0
41,13.02,clothing,desktop,0
42,68.35,travel,desktop,0
43,3.5,electronics,tablet,0
44,240.04,travel,mobile,0
45,29.95,others,tablet,0
46,108.63,electronics,mobile,0
47,37.35,others,mobile,0
48,73.41,clothing,desktop,0
49,79.12,electronics,tablet,0
50,20.44,others,desktop,0
51,349.28,clothing,tablet,0
52,149.22,travel,mobile,0
53,280.51,clothing,desktop,0
54,225.22,groceries,desktop,0
55,91.11,clothing,mobile,0
56,254.94,clothing,mobile,0
57,9.27,groceries,mobile,0
58,21.81,others,desktop,0
59,4.63,others,tablet,0
60,39.35,clothing,desktop,1
61,49.21,groceries,tablet,0
62,31.66,groceries,desktop,0
63,176.46,travel,desktop,0
64,44.12,others,mobile,0
65,32.98,electronics,tablet,0
66,78.24,others,desktop,0
67,15.19,others,desktop,0
68,162.05,travel,mobile,0
69,7.75,electronics,mobile,0
70,433.41,travel,tablet,0
71,147.95,electronics,desktop,0
72,22.15,clothing,tablet,0
73,0.55,electronics,desktop,0
74,168.99,travel,tablet,0
75,122.71,others,mobile,0
76,130.57,electronics,desktop,0
77,147.52,electronics,tablet,1
78,7.69,groceries,mobile,0
79,44.39,others,mobile,0
80,12.32,clothing,tablet,0
81,198.85,travel,desktop,0
82,97.63,clothing,desktop,0
83,40.18,others,mobile,0
84,6.57,electronics,desktop,0
85,37.25,electronics,desktop,0
86,39.33,others,desktop,0
87,130.79,electronics,mobile,1
88,101.49,electronics,tablet,0
89,218.23,electronics,desktop,0
90,63.91,travel,mobile,0
91,12.74,travel,mobile,0
92,124.91,groceries,tablet,1
93,143.04,clothing,desktop,0
94,82.39,others,desktop,0
95,147.39,others,tablet,0
96,68.08,others,tablet,0
97,73.97,groceries,mobile,0
98,55.78,travel,mobile,0
99,2.57,groceries,tablet,0
100,11.42,others,desktop,0
101,3.19,clothing,mobile,0
102,101.17,electronics,mobile,0
103,37.74,travel,desktop,0
104,71.04,travel,mobile,0
105,238.13,groceries,desktop,0
106,28.67,travel,desktop,1
107,52.83,others,desktop,0
108,140.87,others,tablet,0
109,25.98,groceries,tablet,0
110,8.01,others,tablet,1
111,34.21,clothing,desktop,0
112,17.58,groceries,desktop,0
113,265.5,clothing,tablet,0
114,165.09,electronics,mobile,0
115,100.35,clothing,desktop,0
116,205.15,electronics,mobile,0
117,162.8,electronics,mobile,0
118,20.65,clothing,desktop,0
119,223.08,groceries,desktop,0
120,77.51,others,mobile,0
121,164.73,others,mobile,1
122,226.42,electronics,tablet,0
123,38.27,electronics,tablet,0
124,11.66,groceries,desktop,0
125,25.87,travel,tablet,0
126,55.71,clothing,tablet,0
127,170.38,electronics,tablet,0
128,197.13,others,tablet,0
129,0.7,groceries,mobile,0
130,71.49,clothing,desktop,0
131,54.03,groceries,tablet,0
132,25.12,clothing,mobile,0
133,12.77,clothing,mobile,0
134,41.19,electronics,mobile,0
135,286.31,groceries,tablet,0
136,39.04,groceries,tablet,0
137,73.15,others,desktop,0
138,121.41,others,tablet,0
139,45.2,electronics,tablet,0
140,356.78,electronics,mobile,0
141,328.2,travel,desktop,0
142,29.01,others,tablet,0
143,68.77,clothing,tablet,0
144,35.79,groceries,mobile,0
145,33.52,electronics,mobile,0
146,3.76,groceries,tablet,1
147,94.05,groceries,desktop,0
148,69.85,travel,desktop,0
149,5.29,others,mobile,0
150,32.66,electronics,mobile,1
151,238.89,groceries,tablet,0
152,27.39,electronics,mobile,1
153,15.65,clothing,tablet,0
154,67.23,travel,desktop,0
155,424.4,clothing,desktop,0
156,27.71,electronics,tablet,0
157,111.52,electronics,mobile,0
158,143.39,others,desktop,0
159,27.13,groceries,mobile,0
160,130.27,groceries,desktop,0
161,45.85,clothing,tablet,0
162,100.05,travel,tablet,0
163,100.38,groceries,tablet,0
164,76.74,others,desktop,0
165,9.46,clothing,mobile,0
166,180.36,clothing,mobile,0
